Gene ID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ENSMUSG00000000738;995.1023190719498;-0.06726727820719984;0.06665753358647106;-1.0091474224730772;0.31290393767662084;0.8228052682767597
ENSMUSG00000000739;32.70350987800092;-0.03560728122554676;0.2936733556318738;-0.12124791215373755;0.9034946756085397;
ENSMUSG00000000740;4780.064546924831;0.12969161162415888;0.09369104966822998;1.3842476104538346;0.16628264960223937;0.7388775447300882
ENSMUSG00000000743;1676.3380785371903;0.025516644497813386;0.11104919096960542;0.229777851373968;0.8182643963074424;0.9762274077301981
ENSMUSG00000000751;1763.513436498044;-0.079543033841475;0.052456686075820165;-1.5163564417032485;0.1294292469107483;0.6971768404739287
ENSMUSG00000000753;1416.1413637053665;0.09290616659049358;0.11583357247246755;0.8020659693680467;0.42251479890013877;0.8682287198200099
ENSMUSG00000000759;742.0892052056179;-0.04531222615442367;0.06366450016650793;-0.7117345779188435;0.4766291513568599;0.8920660204602551
ENSMUSG00000000766;28.843396461234175;-0.2857625974756943;0.4300033092565378;-0.6645590657657237;0.5063325583357134;
ENSMUSG00000000776;369.34338923805086;0.06793866411563115;0.08866674207750586;0.7662248834658235;0.44354250476729007;0.877503629151505
ENSMUSG00000000782;49.71907309991664;0.2875517701789399;0.21589090126521165;1.3319309359207145;0.1828828842598642;
ENSMUSG00000000787;6926.1969658604285;-0.168714904463801;0.0796811341418829;-2.117375791406051;0.03422796710030652;0.5342619763221051
ENSMUSG00000000791;6.588605899271067;0.35727158285987654;0.685624409623751;0.5210893571539202;0.6023045246286891;
ENSMUSG00000000792;264.0388453474214;0.39433034526283167;0.27523576473873623;1.4327002366031332;0.15194352186246524;0.7269567359952609
ENSMUSG00000000804;2899.81780051159;-0.14710298343325776;0.057891474573843325;-2.5410128955278366;0.011053184270115052;0.4044192851522546
ENSMUSG00000000805;97.24701090918994;0.5587112036083867;0.1963794879899747;2.845058867028461;0.004440321613451721;
ENSMUSG00000000811;273.44145110272365;-0.04333666391435984;0.10036656935612887;-0.43178385185797424;0.6658985170626048;0.944615627775146
ENSMUSG00000000823;717.3070374008557;-0.012093205692062821;0.10082699972562009;-0.11994015219109949;0.9045305571946936;0.992311965309924
ENSMUSG00000000826;4695.007561149809;-0.11223363847939234;0.09326826278897332;-1.203342220850941;0.22884391698495143;0.7703847969504656
ENSMUSG00000000827;1542.831202065673;-0.01260129092322657;0.05142370793728627;-0.24504827498231868;0.80641905255908;0.9737976361155397
ENSMUSG00000000838;1268.5676051786388;-0.027240189474832418;0.06677726102335903;-0.40792612720823723;0.6833279104359654;0.9474504825696674
ENSMUSG00000000861;49.987885420734635;0.522074942468587;0.24965756851670706;2.0911640915610765;0.03651335701555327;
ENSMUSG00000000876;298.7413565623146;-0.007070648857607146;0.10060189615217206;-0.07028345516382681;0.9439680508061388;0.9952050444649846
ENSMUSG00000000881;310.37779618295946;0.09972667479153828;0.14421201499613417;0.6915281975237058;0.489233666865725;0.8957594029134907
ENSMUSG00000000884;89.3347390410479;0.11881355254656832;0.16336968070412566;0.7272680710060778;0.46706175354693014;
ENSMUSG00000000901;82.76133554009219;0.24031361703852241;0.22134838468541387;1.0856804642150988;0.2776203866828987;
ENSMUSG00000000902;1030.058010461522;0.08552686787070411;0.06593132613819243;1.2972113998046892;0.19455845939862837;0.756142799583281
ENSMUSG00000000915;1669.4210928943537;-0.0833528515739724;0.04747751699011884;-1.7556278604738331;0.07915197186012314;0.6571570064704442
